row_idx,col_idx,log2ratio
1,1,4
2,1,4
3,1,4
4,1,4
5,1,4
6,1,4
7,1,4
8,1,4
9,1,4
10,1,4
11,1,4
12,1,4
13,1,4
14,1,4
15,1,4
16,1,4
17,1,4
18,1,4
19,1,4
20,1,4
21,1,4
22,1,4
23,1,4
24,1,4
25,1,4
26,1,4
27,1,4
28,1,4
29,1,4
30,1,4
31,1,4
32,1,4
33,1,4
34,1,4
35,1,4
36,1,4
37,1,4
1,2,4
2,2,4
3,2,2
4,2,2
5,2,3
6,2,4
7,2,4
8,2,3
9,2,4
10,2,4
11,2,3
12,2,4
13,2,3
14,2,4
15,2,4
16,2,4
17,2,3
18,2,4
19,2,0
20,2,1
21,2,4
22,2,3
23,2,3
24,2,4
25,2,4
26,2,4
27,2,4
28,2,4
29,2,4
30,2,4
31,2,3
32,2,2
33,2,4
34,2,4
35,2,1
36,2,3
37,2,0
1,3,4
2,3,4
3,3,3
4,3,3
5,3,2
6,3,2
7,3,4
8,3,2
9,3,2
10,3,2
11,3,3
12,3,4
13,3,3
14,3,3
15,3,3
16,3,3
17,3,2
18,3,2
19,3,3
20,3,2
21,3,4
22,3,3
23,3,3
24,3,4
25,3,3
26,3,4
27,3,4
28,3,4
29,3,3
30,3,2
31,3,3
32,3,3
33,3,4
34,3,2
35,3,3
36,3,3
37,3,0
1,4,4
2,4,4
3,4,4
4,4,2
5,4,3
6,4,4
7,4,2
8,4,1
9,4,4
10,4,3
11,4,3
12,4,2
13,4,3
14,4,3
15,4,3
16,4,2
17,4,4
18,4,1
19,4,0
20,4,2
21,4,3
22,4,4
23,4,3
24,4,3
25,4,3
26,4,3
27,4,4
28,4,4
29,4,3
30,4,4
31,4,3
32,4,1
33,4,3
34,4,3
35,4,3
36,4,2
37,4,4
1,5,4
2,5,3
3,5,3
4,5,3
5,5,3
6,5,4
7,5,3
8,5,4
9,5,4
10,5,3
11,5,3
12,5,4
13,5,3
14,5,4
15,5,3
16,5,4
17,5,4
18,5,4
19,5,0
20,5,2
21,5,4
22,5,4
23,5,4
24,5,3
25,5,4
26,5,3
27,5,4
28,5,4
29,5,4
30,5,3
31,5,4
32,5,2
33,5,4
34,5,3
35,5,2
36,5,3
37,5,2
1,6,4
2,6,3
3,6,2
4,6,3
5,6,4
6,6,3
7,6,2
8,6,3
9,6,2
10,6,1
11,6,3
12,6,3
13,6,4
14,6,4
15,6,3
16,6,4
17,6,4
18,6,2
19,6,0
20,6,3
21,6,2
22,6,3
23,6,2
24,6,2
25,6,3
26,6,4
27,6,2
28,6,4
29,6,4
30,6,3
31,6,3
32,6,2
33,6,3
34,6,2
35,6,3
36,6,2
37,6,4
1,7,4
2,7,3
3,7,3
4,7,2
5,7,3
6,7,3
7,7,4
8,7,4
9,7,2
10,7,4
11,7,4
12,7,3
13,7,3
14,7,3
15,7,2
16,7,4
17,7,4
18,7,3
19,7,0
20,7,1
21,7,1
22,7,3
23,7,4
24,7,4
25,7,4
26,7,4
27,7,2
28,7,3
29,7,4
30,7,3
31,7,3
32,7,2
33,7,3
34,7,4
35,7,4
36,7,2
37,7,3
1,8,4
2,8,3
3,8,1
4,8,4
5,8,2
6,8,3
7,8,3
8,8,2
9,8,2
10,8,2
11,8,3
12,8,4
13,8,3
14,8,3
15,8,3
16,8,3
17,8,2
18,8,2
19,8,0
20,8,1
21,8,2
22,8,3
23,8,3
24,8,3
25,8,2
26,8,3
27,8,2
28,8,3
29,8,3
30,8,3
31,8,3
32,8,2
33,8,3
34,8,2
35,8,2
36,8,3
37,8,3
1,9,4
2,9,3
3,9,2
4,9,3
5,9,2
6,9,3
7,9,3
8,9,2
9,9,4
10,9,3
11,9,3
12,9,4
13,9,4
14,9,3
15,9,3
16,9,2
17,9,3
18,9,2
19,9,0
20,9,2
21,9,2
22,9,3
23,9,0
24,9,2
25,9,3
26,9,2
27,9,4
28,9,4
29,9,3
30,9,3
31,9,3
32,9,4
33,9,3
34,9,4
35,9,1
36,9,3
37,9,3
1,10,4
2,10,4
3,10,3
4,10,4
5,10,3
6,10,3
7,10,3
8,10,3
9,10,2
10,10,2
11,10,4
12,10,4
13,10,4
14,10,4
15,10,4
16,10,4
17,10,3
18,10,4
19,10,3
20,10,3
21,10,2
22,10,3
23,10,3
24,10,3
25,10,3
26,10,3
27,10,3
28,10,3
29,10,4
30,10,3
31,10,3
32,10,3
33,10,3
34,10,2
35,10,2
36,10,4
37,10,4
